Land_Area,Trade flow,Commodity,a2000,S_2000,2001,S_2001,2002,S_2002,2003,S_2003,2004,S_2004,2005,S_2005,2006,S_2006,2007,S_2007,2008,S_2008,2009,S_2009,a2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,a2015,S_2015
Netherlands,Export,Fish,875160,,887318,,1235650,,1442153,,1629313,,1990523,,1871261,,2221352,,2304466,,2028186,,2040758,,2289045,,2269398,,2366386,,2721255,,2515351,
Netherlands,Import,Crustaceans,284940,,289319,,288538,,339730,,316438,,360307,,388287,,445482,,593057,,637942,,657182,,712186,,694199,,627833,,874034,,657153,
Netherlands,Import,Fish,783850,,810775,,903526,,1183093,,1349138,,1553312,,1702874,,1962278,,2082705,,1929268,,1920173,,2274020,,2218329,,2293187,,2528387,,2167554,
Norway,Export,Crustaceans,184194,,149003,,142224,,147100,,158660,,162984,,148481,,134962,,192741,,135767,,132049,,155697,,136324,,76917,,94356,,116881,
Norway,Export,Fish,3259537,,3133741,,3301445,,3364762,,3860791,,4614956,,5230820,,5928749,,6556499,,6783816,,8508859,,9102041,,8585265,,10101144,,10502451,,8823532,
Norway,Import,Crustaceans,74571,,61223,,63669,,64795,,89410,,85209,,76826,,115691,,116130,,104716,,117076,,149684,,152171,,159826,,171705,,161086,
Norway,Import,Fish,356692,,409849,,367163,,263142,,303275,,295301,,352324,,442881,,451413,,398037,,348712,,498267,,455728,,359410,,423866,,360462,
Poland,Export,Crustaceans,21656,,18339,,18029,,21946,,26189,,24618,,25439,,32781,,29564,,23831,,20004,,17700,,18008,,23048,,22547,,16016,
Poland,Export,Fish,212955,,218837,,222241,,283622,,406050,,595245,,770341,,899227,,1126611,,1067214,,1357299,,1535140,,1502181,,1710360,,1930811,,1669001,
Poland,Import,Crustaceans,14169,,14160,,14001,,18370,,26788,,20039,,22003,,29779,,35179,,26993,,33459,,33880,,39593,,47043,,59517,,55962,
Poland,Import,Fish,278730,,338488,,304293,,347651,,530747,,660426,,808344,,934557,,1177421,,1129001,,1441948,,1531138,,1520977,,1886387,,2039748,,1738819,
Portugal,Export,Crustaceans,53634,,40642,,33386,,39108,,37211,,45610,,46469,,65983,,102176,,68227,,94323,,106891,,90112,,79064,,106436,,129357,
Portugal,Export,Fish,209755,,204437,,227839,,262361,,348663,,352573,,459800,,517179,,535342,,473431,,624345,,729184,,729475,,807403,,830499,,733127,
Portugal,Import,Crustaceans,108414,,111958,,114914,,130398,,143918,,158636,,170088,,188565,,217402,,206335,,233381,,237642,,213784,,213260,,300266,,256580,
Portugal,Import,Fish,680786,,738961,,741861,,846964,,997419,,1030612,,1188508,,1453911,,1447509,,1167968,,1300745,,1474076,,1402609,,1485213,,1502517,,1409652,
Russian Federation,Export,Crustaceans,252459,,239469,,240964,,269891,,190629,,211295,,214976,,319014,,288822,,262437,,269012,,316281,,305039,,355298,,560929,,550202,
Russian Federation,Export,Fish,1224218,,1275407,,1129435,,1176792,,1294713,,1676403,,1840524,,1975730,,2228682,,1965404,,2467495,,2860210,,2827770,,3088185,,3104594,,2940880,
Russian Federation,Import,Crustaceans,4534,,14164,,29001,,41103,,45133,,86750,,126869,,203963,,246697,,187418,,239181,,309664,,291685,,390848,,388481,,158148,
Russian Federation,Import,Fish,167400,,280707,,364993,,466192,,685666,,982937,,1209216,,1655124,,1961353,,1655983,,1961794,,2218814,,2341625,,2751661,,2425049,,1369578,
Spain,Export,Crustaceans,152127,,177685,,196279,,247209,,248612,,187808,,240527,,303112,,274400,,298653,,310934,,366784,,334486,,379432,,406152,,403248,
Spain,Export,Fish,1133729,,1275677,,1298699,,1494686,,1773896,,1842333,,2037985,,2266045,,2500662,,2226990,,2321330,,2982501,,2787130,,2816567,,2767891,,2463542,
Spain,Import,Crustaceans,965723,,971659,,940115,,1213292,,1254796,,1376410,,1627970,,1617133,,1650745,,1273039,,1490428,,1613501,,1272749,,1335206,,1548530,,1417944,
Spain,Import,Fish,1683791,,1914603,,2042506,,2546239,,2687497,,2881753,,3317248,,3799678,,3848716,,3412961,,3481264,,3839280,,3551862,,3684368,,3830541,,3482270,
Sweden,Export,Crustaceans,20313,,19634,,25511,,28021,,34369,,33606,,32522,,46024,,45955,,33105,,38980,,42305,,36781,,41034,,46000,,33488,
Sweden,Export,Fish,435532,,435338,,489343,,661388,,863828,,1121419,,1500659,,1586113,,1825092,,1976470,,2597908,,2787913,,2816902,,3517625,,3811066,,3623920,
Sweden,Import,Crustaceans,132375,,127264,,127058,,162036,,174125,,192036,,196125,,248288,,251988,,229644,,268684,,302821,,317842,,364148,,380366,,333030,
Sweden,Import,Fish,565908,,593074,,665457,,863403,,1095442,,1364666,,1786698,,2225226,,2449702,,2332554,,2969046,,3270107,,3247841,,4062138,,4340416,,4031820,
Switzerland,Export,Crustaceans,137,,126,,160,,195,,266,,134,,74,,185,,856,,963,,428,,572,,632,,1279,,261,,236,
Switzerland,Export,Fish,2208,,2018,,2555,,3164,,4326,,3767,,4622,,5976,,6193,,6038,,6222,,8037,,6918,,8629,,7318,,6316,
Switzerland,Import,Crustaceans,68027,,72973,,52512,,65541,,72347,,73056,,82226,,101418,,102437,,100849,,111805,,137294,,121771,,132695,,166527,,130532,
Switzerland,Import,Fish,260983,,265841,,269776,,298409,,334144,,350584,,391040,,432531,,475974,,462239,,487809,,552066,,531726,,610336,,605934,,557779,
Ukraine,Export,Crustaceans,2549,,7725,,965,,2325,,2674,,3077,,2888,,3503,,2867,,1257,,869,,1454,,330,,993,,858,,1066,
Ukraine,Export,Fish,39491,,24444,,18928,,14635,,15416,,19867,,17935,,28451,,35594,,57989,,52626,,58206,,64620,,62652,,46950,,16223,
Ukraine,Import,Crustaceans,1485,,948,,1520,,2225,,2078,,8093,,20301,,31878,,40864,,23054,,25997,,37564,,38947,,43222,,27233,,6763,
Ukraine,Import,Fish,109510,,95572,,86154,,105383,,129713,,261145,,420617,,492086,,671451,,504067,,416555,,548088,,737505,,911156,,629638,,307708,
United Kingdom,Export,Crustaceans,343852,,334171,,366729,,395928,,432976,,454670,,488186,,565349,,479100,,405784,,454797,,474333,,438557,,455294,,478204,,395712,
United Kingdom,Export,Fish,776742,,833689,,847804,,1073843,,1141685,,1178785,,1206945,,1351393,,1366370,,1436082,,1630259,,1917637,,1758354,,1862348,,2169639,,1666646,
United Kingdom,Import,Crustaceans,589457,,549562,,543235,,624542,,662773,,689453,,699096,,732596,,697896,,686534,,730006,,900722,,876514,,975565,,1081740,,1005438,
United Kingdom,Import,Fish,1412679,,1485684,,1571775,,1655944,,1920262,,2252187,,2742357,,3137610,,3260124,,2613149,,2668313,,3040647,,3079108,,3230800,,3171716,,2810551,
