"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Congo","Export","Fish","2090","F","627","F","694","F","1012","F","809","F","1233","F","551","F","490","F","1040","","918","","893","","831","F","415","F","313","F","566","","676","F"
"Congo","Import","Crustaceans","0","-","9","F","0","-","0","-","23","F","10","","17","F","43","F","44","","356","","120","","499","","792","","270","","236","","201","F"
"Congo","Import","Fish","20567","F","24605","F","12263","F","9893","F","18013","F","10716","","16298","F","11685","F","29936","","20701","","16727","","33357","","38380","","64928","","84103","","70646","F"
"Congo, Dem. Rep. of the","Export","Crustaceans","1","","0",".","10","F","10","F","36","F","0","-","5","","1","","0","-","75","F","67","F","0","-","0","-","0","-","0","-","0","-"
"Congo, Dem. Rep. of the","Export","Fish","585","","334","","316","","423","","410","","419","","388","","401","","390","","514","","650","","700","F","767","F","787","F","1111","F","839","F"
"Congo, Dem. Rep. of the","Import","Crustaceans","0","-","10","F","19","F","38","F","769","F","141","F","146","F","67","F","115","F","170","F","818","F","495","F","346","F","708","F","698","F","177","F"
"Congo, Dem. Rep. of the","Import","Fish","26204","","35629","F","38537","F","38584","F","44622","F","54291","F","62300","F","84939","F","93466","F","80694","F","111902","F","143916","F","141845","F","144325","F","159749","F","147421","F"
"Côte d'Ivoire","Export","Crustaceans","3309","","3193","","1439","","1080","","1031","","519","","791","","527","","1042","","2588","","897","","700","","110","","581","","919","","258",""
"Côte d'Ivoire","Export","Fish","124805","","103672","","138328","","138587","","157691","","101906","","123491","","170228","","195813","","166000","","101553","","76061","","114024","","109672","","93099","","142987",""
"Côte d'Ivoire","Import","Crustaceans","731","","1041","","1695","","1429","","2463","","1433","","1866","","2763","","3354","","3683","","3414","","2113","","2453","","3260","","2491","","1446",""
"Côte d'Ivoire","Import","Fish","131289","","149112","","178499","","199603","","186650","","202213","","228228","","274757","","391996","","356475","","254224","","309381","","323071","","361120","","392535","","389841",""
"Djibouti","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4","F","0","-","0","-","0","-","0","-","0","-","2","F","0","-","0","-"
"Djibouti","Export","Fish","18","F","73","F","64","F","88","F","3","","11","F","94","F","4","F","0","-","2","F","28","F","6","F","2","F","4","F","1","F","3","F"
"Djibouti","Import","Crustaceans","43","F","20","","15","F","22","F","15","F","158","F","31","F","47","F","269","F","384","","54","F","63","F","69","F","36","F","215","F","199","F"
"Djibouti","Import","Fish","1436","F","882","F","606","F","612","F","1379","F","1103","F","2231","F","1934","F","2007","F","2384","","1321","F","2201","F","2740","F","4772","F","2749","F","5057","F"
"Egypt","Export","Crustaceans","51","","9","","3","","17","","14","","3","","14","","116","","16","","148","","205","","72","","329","","1405","","2933","","2957","F"
"Egypt","Export","Fish","911","","794","","1393","","2181","","2770","","3222","","2677","","3664","","9210","","12307","","12524","","18134","","15599","","21997","","28895","","26686","F"
"Egypt","Import","Crustaceans","227","","1244","","729","","320","","2097","","5337","","10386","","23695","","45994","F","69350","","70562","","75676","","118208","","65583","","84882","","85184","F"
"Egypt","Import","Fish","134667","","132230","","92734","","102314","","122199","","129395","","150312","","187276","","313987","","384549","","407352","","433562","","597066","","504884","","628767","","638461","F"
"Equatorial Guinea","Export","Crustaceans","0","-","0","-","2","","20","F","75","F","27","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Equatorial Guinea","Export","Fish","1588","F","596","F","49","F","88","F","94","F","19","F","73","F","80","F","63","F","80","F","26","F","38","F","57","F","46","F","44","F","46","F"
"Equatorial Guinea","Import","Crustaceans","2","","3","","63","F","130","F","133","F","90","F","266","F","342","F","354","F","323","F","659","F","944","F","887","F","864","F","1163","F","901","F"
"Equatorial Guinea","Import","Fish","2626","F","5036","F","4626","F","8874","F","12215","F","11224","F","15810","F","17012","F","15615","F","25120","F","18302","F","21918","F","30494","F","28037","F","25201","F","17072","F"
"Eritrea","Export","Crustaceans","572","F","163","F","380","F","9","","340","F","0","-","6","","248","F","110","F","0","-","0","-","0","-","124","F","3","F","0","-","0","-"
"Eritrea","Export","Fish","1530","F","686","F","451","F","1533","","148","F","45","F","73","F","201","F","248","F","160","F","12","","7","","66","F","0","-","0","-","0","-"
"Eritrea","Import","Crustaceans","0",".","34","F","29","F","3","","12","F","22","F","15","F","3","","0","-","15","F","10","F","13","","0","-","6","F","0","-","7","F"
"Eritrea","Import","Fish","117","F","204","F","276","F","819","","368","F","166","F","467","F","228","F","315","F","84","F","229","F","32","","278","F","131","F","208","F","52","F"
"Ethiopia","Export","Fish","13","","16","","49","","51","","14","","4","","296","","597","","394","","263","","446","","424","","476","","406","","486","","524",""
"Ethiopia","Import","Crustaceans","0","0","0","-","0","-","0","0","3","","5","","5","","20","","90","","145","","135","","184","","200","","686","","288","","158",""
