"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Seychelles","Export","Fish","109941","","142740","","164825","","286569","","262203","","288904","","282871","","277589","","313959","","303074","F","275240","","351742","","493120","F","479558","","414363","","360499",""
"Seychelles","Import","Crustaceans","398","","251","","152","","483","","648","","537","","796","","1547","","1445","","467","F","1971","","2653","","2211","","1457","","2302","F","3059","F"
"Seychelles","Import","Fish","9817","","13941","","22404","","65601","","73871","","76962","","94100","","79405","","61366","","86205","F","94602","","128688","","145268","","140867","","127088","","92943",""
"Sierra Leone","Export","Crustaceans","3472","F","3742","F","8107","F","10997","F","8154","F","8318","F","6348","F","5522","F","4920","F","4812","F","5015","F","4750","F","5269","F","4650","F","3700","F","3600","F"
"Sierra Leone","Export","Fish","7488","F","7145","F","5229","F","4261","F","4313","F","4738","F","4733","F","5069","F","5046","F","5556","F","5541","F","5795","F","6068","F","6087","F","6141","F","6607","F"
"Sierra Leone","Import","Crustaceans","69","F","400","F","43","","207","F","67","F","10","F","9","F","2","","7","F","4","","3","","12","F","70","F","44","F","612","F","256","F"
"Sierra Leone","Import","Fish","929","F","1672","F","764","","3131","F","1785","F","1945","F","1632","F","3557","F","3380","F","4048","F","2798","F","3309","F","2660","F","3344","F","4090","F","3518","F"
"Somalia","Export","Crustaceans","18","F","8","F","145","F","1","","171","F","364","F","124","F","0","-","2286","F","3","","113","F","644","F","337","F","132","F","22","F","109","F"
"Somalia","Export","Fish","2280","","2960","F","2073","F","1113","F","2590","F","2276","F","2094","F","2639","F","2127","F","3064","F","1268","F","1460","F","686","F","943","F","1699","F","3217","F"
"Somalia","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","80","F","0",".","0",".","11","F","8","F","0","-","96","F","0","-","6","F","33","F"
"Somalia","Import","Fish","100","F","29","F","313","F","392","F","772","F","830","F","3970","F","2666","F","3745","F","5488","F","2849","F","6163","F","6301","F","11489","F","12038","F","15265","F"
"South Africa","Export","Crustaceans","34039","","38654","","45243","","50662","","66645","","71128","","62777","","84163","","75622","","75530","","88208","","94846","","89210","","95877","","103297","","66326",""
"South Africa","Export","Fish","190702","","205281","","211179","","244797","","238624","","267883","","236574","","292138","","316398","","268698","","283605","","323177","","302262","","307399","","356184","","273069",""
"South Africa","Import","Crustaceans","13020","","13779","","11674","","15140","","27697","","40795","","46305","","49509","","44150","","48247","","44502","","74369","","57616","","74268","","68420","","43747",""
"South Africa","Import","Fish","28431","","30231","","26911","","44058","","53690","","58943","","80921","","115279","","157881","","181348","","165281","","159521","","263633","","265207","","320346","","248382",""
"South Sudan","Export","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2","F","0","-","0","-","0","-"
"South Sudan","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","366","F","1011","F","575","F","604","F"
"Sudan","Export","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","169","","223","F","772","F","1061","F"
"Sudan","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","97","","262","F","54","F","0","-"
"Sudan","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","5174","","7074","F","5697","F","6308",""
"Sudan (former)","Export","Crustaceans","0","-","0","0","5","","2","","7","","0","0","0","0","3","","8","","3","","0","-","3","","0",".","0",".","0",".","0","."
"Sudan (former)","Export","Fish","79","","167","","384","","459","","791","","639","","53","","187","F","313","","143","","23","","171","","0",".","0",".","0",".","0","."
"Sudan (former)","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","5","","48","","22","","124","","182","","291","","120","","0",".","0",".","0",".","0","."
"Sudan (former)","Import","Fish","328","","226","","405","","276","F","137","","373","","2145","","2835","","1803","","4382","","3286","","7719","","0",".","0",".","0",".","0","."
"Swaziland","Export","Crustaceans","1312","","715","","930","","1158","","3875","","1085","","49","","0","-","0","-","0","-","0","-","0","-","7","F","0","-","0","-","0","-"
"Swaziland","Export","Fish","1259","","842","","1660","","713","","1512","","768","","130","","32","","167","F","178","F","152","F","110","F","9","F","0","-","5","F","0","-"
"Swaziland","Import","Crustaceans","1611","","667","","876","","1305","","3236","","976","","457","","141","","418","F","1","","18","F","220","F","158","F","94","F","142","F","138","F"
"Swaziland","Import","Fish","6442","","4651","","4965","","7866","","10414","","9224","","5724","","5005","","3650","F","3502","F","3350","F","3371","F","3985","F","4766","F","8141","F","7352","F"
"Tanzania, United Rep. of","Export","Crustaceans","8704","","10733","","11597","","13075","","11085","","15069","","5780","","4804","","3935","","2181","","1511","","1691","","2934","","2602","","4440","","5377",""
"Tanzania, United Rep. of","Export","Fish","84748","","98730","","104043","","116889","","102107","","124189","","121880","F","153526","","171022","","137855","","101178","","88807","","97792","","75953","","155175","","150466",""
"Tanzania, United Rep. of","Import","Crustaceans","89","","414","","4","","6","","38","","130","","10","","16","","1","","22","","3","","5","","1","","7","","2","","26",""
"Tanzania, United Rep. of","Import","Fish","355","","349","","116","","574","","548","","403","","1021","","2269","","3852","","3958","","3253","","2146","","3913","","5869","","18113","","17251",""
"Togo","Export","Crustaceans","311","","190","","0","-","0","-","22","","0","-","13","","0","-","90","","0","-","0","-","0","-","4","","12","","0","-","20",""
"Togo","Export","Fish","2677","","5297","","10120","","2724","","10300","","4187","","4211","F","2321","F","3539","F","5356","F","4401","F","4335","F","2900","F","1153","F","2181","F","1899","F"
"Togo","Import","Crustaceans","6","","7","","20","","75","","31","","0","-","27","F","132","","0","-","4","","0","-","3","","5","","0","-","2","","14",""
"Togo","Import","Fish","11703","","13437","","6862","","7521","","4921","","8672","","7707","F","7667","","7150","","10083","","24336","","32562","","32207","","31974","F","29924","","37278",""
"Tunisia","Export","Crustaceans","54094","","38503","","32647","","42051","","44124","","47611","","49976","","44509","","50556","","38142","","37248","","41423","","30206","","43318","","47739","","51930",""
"Tunisia","Export","Fish","18481","","24973","","29361","","22469","","41846","","66813","","72868","","91536","","105545","","78802","","65757","","90860","","79375","","89437","","71754","","68832",""
"Tunisia","Import","Crustaceans","327","","230","","445","","514","","185","","622","","512","","1241","","1502","","3172","","4784","","3623","","3253","","1232","","522","","782",""
"Tunisia","Import","Fish","11023","","18089","","17326","","35041","","27482","","39083","","45618","","49834","","64386","","61897","","60154","","68144","","76276","","71854","","72754","","52320",""
"Uganda","Export","Crustaceans","0",".","40","","0",".","52","","0","-","1","","2","","0","-","56","","0","-","7","","0","-","34","","5","","0","-","0","-"
"Uganda","Export","Fish","28722","","49591","","85781","","84593","","99996","","138911","","140694","","118084","","118985","","109167","","124825","","125856","","122049","","123929","","134489","","117060",""
"Uganda","Import","Crustaceans","20","","13","","18","","17","","18","","22","","40","","83","","118","","100","","117","","81","","90","","135","","166","","225",""
"Uganda","Import","Fish","65","","21","","64","","1000","","121","","531","","139","","576","","720","","654","","1358","","2580","","3648","","2219","","3444","","2176",""
"Zambia","Export","Crustaceans","0","-","0","-","0","-","0","-","7","","0","-","0","-","0","-","0","-","0","-","0","-","13","","0","-","0","-","0","-","0","-"
"Zambia","Export","Fish","418","","308","","858","","897","","997","F","3418","","357","","384","","1295","","1090","","905","","530","","465","","431","","725","","501",""
"Zambia","Import","Crustaceans","16","","53","","30","","34","","22","","18","","49","","86","","21","","31","","90","","194","","318","","457","","697","","368",""
"Zambia","Import","Fish","1196","","984","","1737","","3337","","2935","","5093","F","5386","","8423","","5260","","6259","","8024","","16945","","31887","","51001","","77625","","113357",""
"Zimbabwe","Export","Crustaceans","6","","16","F","2","","0","-","4","","0","-","0","-","1","","0","-","0","-","0","-","0","-","3","","0","-","0","-","0","-"
"Zimbabwe","Export","Fish","4299","","3462","F","2387","","2495","F","2459","","1819","","4673","","3020","","1453","","2157","","3246","","4826","","6596","","8776","","15321","","12518",""
"Zimbabwe","Import","Crustaceans","455","","181","F","187","","103","F","97","","1361","","148","","185","","50","","112","","188","","238","","194","","633","","512","","581",""
"Zimbabwe","Import","Fish","7210","","2962","F","1801","","1432","F","2563","","494","","3280","","2035","","2871","","4653","","17878","","22833","","23457","","27840","","24998","","25749",""
"Antigua and Barbuda","Export","Crustaceans","150","","74","F","117","F","74","F","57","F","36","","52","F","33","","21","F","43","","30","","135","","206","","207","","8","F","52","F"
"Antigua and Barbuda","Export","Fish","40","","106","F","136","F","168","F","113","F","292","","158","F","226","","199","F","302","","370","","755","","801","","416","","282","","200","F"
"Antigua and Barbuda","Import","Crustaceans","603","","112","F","391","F","2523","F","799","F","720","","780","","764","","710","F","778","","724","","814","","798","","871","","1183","","998",""
"Antigua and Barbuda","Import","Fish","3217","","1500","F","2204","F","2842","F","3342","F","3899","","5418","","6804","","5877","F","4762","","5005","","5286","","5588","","5319","","5062","F","5391",""
"Argentina","Export","Crustaceans","247849","","376041","","251544","","388461","","218293","","88464","","374959","","291152","","384248","","323482","","472443","","528603","","495691","","634659","","776839","","780253",""
"Argentina","Export","Fish","358548","","329740","","342766","","374117","","467718","","486903","","592668","","619742","","675952","","662185","","657656","","709988","","604064","","559762","","569476","","509083",""
"Argentina","Import","Crustaceans","7715","","3792","","327","","455","","460","","2346","","2947","","2837","","3190","","3245","","5353","","6330","","5323","","6343","","5257","","5471",""
"Argentina","Import","Fish","67030","","61091","","12402","","24986","","41626","","53182","","67535","","89645","","87219","","86085","","107839","","139497","","153710","","168681","","135020","","148608",""
"Aruba","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","1","","0","-","0","-","0","-","1","","4","","1","","0","-","0","0","6","","0","-"
"Aruba","Export","Fish","241","","358","","777","","435","","1017","","250","","70","","82","","23","","15","","13","","0","-","3","","48","","11","","32",""
"Aruba","Import","Crustaceans","475","","266","","266","","235","","489","","513","","442","","462","","509","","4533","","4707","","5542","","6173","","6406","","8088","","9089",""
"Aruba","Import","Fish","9451","","9083","","9711","","10948","","11721","","11142","","12064","","13262","","13898","","9137","","9839","","9759","","11215","","10878","","11271","","12297",""
"Bahamas","Export","Crustaceans","106808","","69399","","89810","","107198","","86616","","75040","","91025","","81371","","78865","","60978","","70503","","70508","","78469","","86866","","65435","","59082",""
"Bahamas","Export","Fish","356","","421","","628","","728","","175","","156","","289","","537","","396","","975","","1001","","942","","602","","1152","","504","","355",""
"Bahamas","Import","Crustaceans","3566","","3852","","4190","","3327","","3040","","3557","","3874","","4083","","4950","","4488","","4967","","3899","","4745","","3253","","5278","","4479",""
"Bahamas","Import","Fish","10420","","9305","","9554","","9281","","10877","","12398","","13412","","13079","","15817","","15204","","14035","","16714","","19056","","17952","","18023","","18242",""
"Barbados","Export","Crustaceans","6","","2","","4","","16","","26","","34","","36","","30","","18","","17","","6","","11","","9","","10","","8","","8",""
"Barbados","Export","Fish","1239","","1321","","892","","844","","791","","1311","","652","","869","","711","","322","","586","","520","","523","","345","","376","","457",""
"Barbados","Import","Crustaceans","1625","","1758","","1772","","1531","","979","","1557","","1829","","2054","","2318","","1615","","1561","","2058","","1878","","1990","","2247","","2982",""
"Barbados","Import","Fish","8823","","10094","","11135","","11599","","10250","","14991","","16254","","16201","","17227","","15854","","15844","","19374","","23312","","19489","","21816","","22062",""
"Belize","Export","Crustaceans","30196","","8242","","7700","","53199","F","50291","","38483","","38224","","17521","","18265","","20976","","22709","","19382","","21989","","49145","","52083","F","39561",""
"Belize","Export","Fish","112","","1078","","85","","59","","711","","699","","665","","627","","2359","","1353","","3873","","1174","","737","","856","","529","F","568","F"
"Belize","Import","Crustaceans","1443","","5","","19","","19","","17","","47","","7","","7","","10","","2","","380","","26","","4","","5","","161","","258",""
"Belize","Import","Fish","376","","272","","408","","424","","388","","439","","487","","427","","694","","465","","497","","333","","603","","575","","956","","500",""
"Bermuda","Export","Crustaceans","254","F","0","-","0","-","0","-","0","-","94","F","0","-","0","-","0","-","0","-","0","-","0","-","3","","16","","14","","8",""
"Bermuda","Export","Fish","18","","46","","46","","0","-","0","-","0","-","44","F","15","F","280","F","356","F","61","F","0","-","8","","27","","17","","14","F"
"Bermuda","Import","Crustaceans","2431","F","2545","F","2761","F","2900","F","2300","F","3667","F","3816","F","3305","F","2896","F","2268","F","2230","F","2165","F","2131","F","2895","F","2991","F","2330",""
"Bermuda","Import","Fish","3901","F","4865","F","4497","F","4329","F","4982","F","7893","F","8888","F","8915","F","7762","F","7059","F","5707","F","6549","F","7958","F","9134","F","8833","","8420","F"
"Bolivia (Plurinat.State)","Export","Fish","24","","35","","3","","22","F","0","-","1","","0","-","14","","49","","18","","0","-","0","-","0","-","0","-","0","-","0","-"
"Bolivia (Plurinat.State)","Import","Crustaceans","188","","114","","92","","63","","80","","72","","41","","33","","29","","33","","49","","52","","76","","124","","150","","222",""
"Bolivia (Plurinat.State)","Import","Fish","8842","","5271","","5302","","3440","","2504","","3195","","4736","","5235","","9875","","10169","","9824","","17608","","16265","","17716","","18667","","21465",""
"Brazil","Export","Crustaceans","157288","","189528","","248370","","313951","","304876","","273073","","242097","","168060","","144169","","82571","","102828","","86506","","57619","","78385","","74289","","74597",""
"Brazil","Export","Fish","81544","","93576","","93135","","103585","","115759","","126952","","122781","","138509","","118342","","107153","","113437","","134872","","152119","","139503","","132926","","145512",""
"Brazil","Import","Crustaceans","1362","","1077","","569","","148","","332","","407","","331","","621","","462","","773","","793","","1236","","588","","907","","872","","597",""
"Brazil","Import","Fish","317030","","257406","","211225","","201459","","266141","","296319","","461269","","556155","","677237","","705095","","1028376","","1227332","","1215400","","1428518","","1510546","","1162792",""
"Canada","Export","Crustaceans","1316187","","1306512","","1520599","","1709836","","1797845","","1762043","","1766123","","1894487","","1836435","","1553216","","1872380","","2217390","","2263490","","2398346","","2660986","","2788642",""
"Canada","Export","Fish","1244067","","1251891","","1272123","","1311330","","1381107","","1530628","","1570640","","1486789","","1544957","","1388725","","1620304","","1565595","","1553878","","1530908","","1421755","","1440926",""
"Canada","Import","Crustaceans","568194","","547567","","499958","","483252","","527152","","570942","","626256","","656978","","602699","","604418","","720632","","883611","","848259","","902053","","1097427","","943161",""
"Canada","Import","Fish","654213","","647117","","672780","","751128","","801378","","855536","","922784","","1061693","","1127306","","1122862","","1188181","","1350945","","1403007","","1501259","","1441821","","1333270",""
"Cayman Islands","Export","Fish","180","F","94","F","108","F","50","F","200","F","130","F","346","F","76","F","130","F","426","F","172","F","140","F","0","-","3","F","5","F","185","F"
"Cayman Islands","Import","Crustaceans","545","F","753","F","995","F","958","F","702","F","389","F","1113","F","934","F","951","F","994","F","871","F","789","F","1150","F","1328","F","1395","F","1287","F"
"Cayman Islands","Import","Fish","391","F","722","F","872","F","892","F","920","F","452","F","1855","F","2717","F","1763","F","2240","F","2539","F","2596","F","2952","F","2294","F","2146","F","1774","F"
"Chile","Export","Crustaceans","59186","","48357","","37786","","34621","","38199","","45479","","45785","","43182","","49942","","43144","","61733","","84936","","86436","","91296","","111794","","111596",""
"Chile","Export","Fish","1333735","","1412501","","1320666","","1560806","","1866012","","2201711","","2692743","","2769494","","2883495","","2604159","","2453268","","3358631","","3297259","","3955591","","4716791","","3811185",""
"Chile","Import","Crustaceans","4232","","3285","","2762","","2733","","3254","","4907","","6384","","9126","","12615","","12123","","20200","","30061","","37554","","46374","","58649","","55461",""
"Chile","Import","Fish","18458","","17753","","19033","","21593","","31758","","38105","","45460","","53195","","75123","","55749","","89941","","163223","","145427","","164597","","140334","","148692",""
"Colombia","Export","Crustaceans","100004","","95232","","84765","","78944","","66387","","84892","","82245","","69374","","85035","","68906","","57993","","45243","","47397","","26915","","23157","","22729",""
"Colombia","Export","Fish","89790","","79155","","80802","","80661","","92645","","95264","","82649","","118730","","154294","","137110","","120073","","142676","","153070","","164635","","195570","","144094",""
"Colombia","Import","Crustaceans","471","","1076","","600","","756","","1264","","1901","","3425","","5017","","5842","","5947","","10480","","13463","","16836","","32682","","43340","","33719",""
"Colombia","Import","Fish","55037","","55288","","64447","","69063","","82921","","109800","","120362","","150445","","209729","","194921","","217630","","270983","","321561","","392167","","429045","","366294",""
"Costa Rica","Export","Crustaceans","20123","","18495","","19378","","10942","","13036","","13456","","11167","","7211","","5965","","4959","","3691","","3514","","7014","","12648","","15624","","15619",""
"Costa Rica","Export","Fish","97498","","115020","","118977","","121217","","102187","","108306","","94242","","99949","","121069","","111074","","101198","","124800","","165822","","142405","","127719","","119584",""
"Costa Rica","Import","Crustaceans","1581","","2473","","2130","","2026","","1309","","1026","","1244","","1755","","1329","","2383","","2719","","5472","","4122","","3084","","7413","","8789",""
"Costa Rica","Import","Fish","15111","","17344","","26691","","23117","","26438","","26655","","31576","","38729","","55118","","47705","","42046","","61813","","77764","","86214","","117037","","125685",""
"Cuba","Export","Crustaceans","85656","","77335","","89338","","60833","","84327","","75031","","67229","","85662","","78851","","44646","","58873","","64292","F","46332","F","43184","F","41182","F","52179","F"
"Cuba","Export","Fish","894","","1666","","2780","","3503","","4017","","1130","","1216","","1303","","796","","813","","557","","931","F","853","F","767","F","671","F","642","F"
"Cuba","Import","Crustaceans","97","","514","","300","","145","","392","","919","","230","","872","","481","","70","","81","","64","F","122","F","121","F","112","F","411","F"
"Cuba","Import","Fish","37659","","29943","","18458","","26219","","48268","","49538","","35015","","40090","","52105","","34547","","23079","","28398","F","26271","F","24072","F","27997","F","36266","F"
"Curaçao","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","193","F","0","0","0","0","10","F","58","F"
"Curaçao","Export","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","20425","F","35862","F","37956","F","32282","F","25986","F"
"Curaçao","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","2784","F","740","F","1345","F","2034","F","1250","F"
"Curaçao","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","7777","F","7813","F","6767","F","5955","F","6648","F"
"Dominica","Export","Fish","0",".","0",".","1","","4","","1","","32","","1","","6","","6","","2","","0","-","6","","0","0","5","F","2","F","3","F"
"Dominica","Import","Crustaceans","30","","17","","30","","27","","28","","46","","42","","71","","52","","157","","114","","195","F","111","F","69","F","21","F","39","F"
"Dominica","Import","Fish","1544","","1231","","1374","","1279","","1516","","1593","","1617","","1736","","1897","","2202","","1699","","1986","F","1939","F","2091","F","3538","F","3186","F"
"Dominican Republic","Export","Crustaceans","55","","63","","160","","178","","437","","1817","","1636","","1793","","1509","","1624","","2611","","4155","","2571","","2672","","2502","","3859",""
"Dominican Republic","Export","Fish","2497","","2055","","3003","","5088","","2296","","4942","","1960","","1514","","2709","","2743","","4422","","10489","","6194","","9988","","11176","","10345",""
"Dominican Republic","Import","Crustaceans","1737","F","1825","F","1931","","2167","","2066","","3059","","5875","","8133","","9973","","10564","","12070","","16309","","13293","","10186","","17312","F","13286","F"
"Dominican Republic","Import","Fish","49055","F","53649","F","66452","","52035","","56218","","66388","","72553","","78779","","101613","","110297","","118318","","132536","F","144004","F","116039","F","126104","F","133886","F"
"Ecuador","Export","Crustaceans","279596","","291524","","260954","","283213","","339528","","456446","","601073","","606933","","685768","","661517","","838499","","1186235","","1290807","","1805654","","2600534","","2318003",""
"Ecuador","Export","Fish","287126","","351201","","424337","","473626","","434083","","517998","","687257","","718676","","996648","","860228","","838783","","1171667","","1425459","","1619623","","1535196","","1183046",""
"Ecuador","Import","Crustaceans","102","","308","","416","","1011","","1754","","1395","","390","","451","","551","","295","","548","","796","","4979","","4631","","3683","","179",""
"Ecuador","Import","Fish","1147","","3941","","22913","","27682","","17950","","3684","","7018","","52208","","226466","","217229","","219728","","282524","","181349","","111442","","123505","","83586",""
"El Salvador","Export","Crustaceans","19829","","20651","","12608","","15154","","9942","","12257","","11591","","13387","","4387","","7775","","4563","","788","","458","","928","","731","","542",""
"El Salvador","Export","Fish","6737","","3967","","8978","","18219","","39039","","61589","","56441","","95807","","113002","","84024","","70474","","75949","","103122","","114621","","103124","","80747",""
"El Salvador","Import","Crustaceans","1139","","562","","786","","1238","","1654","","1964","","3295","","5495","","3942","","7794","","3991","","2587","","2652","","2310","","1923","","2608",""
"El Salvador","Import","Fish","6672","","7585","","5197","","8259","","15215","","43699","","32873","","48045","","24801","","68628","","38197","","28283","","40986","","58396","","47775","","33475",""
"Falkland Is.(Malvinas)","Export","Fish","21340","","23190","","26090","","27470","F","36710","F","36915","","40320","","31000","","52210","","55880","","88975","","78358","","29364","","71040","","49300","","26286",""
"Falkland Is.(Malvinas)","Import","Crustaceans","16","F","15","F","18","F","48","F","25","F","54","F","72","F","66","F","79","F","56","F","59","F","71","F","14","F","7","F","4","F","15","F"
"Falkland Is.(Malvinas)","Import","Fish","163","F","141","F","13","F","43","F","158","F","135","F","143","","67","F","104","F","160","F","152","F","188","F","154","F","134","F","255","F","174","F"
"Greenland","Export","Crustaceans","194902","","179059","","172987","","218835","","220302","","238169","","211035","","149918","","255712","","203627","","207600","","265117","","252152","","240591","","247474","","173216",""
"Greenland","Export","Fish","66766","","54561","","68533","","127154","","114484","","120712","","134268","","140170","","160239","","113961","","146304","","183476","","179000","","209160","","270003","","211790",""
"Greenland","Import","Crustaceans","337","","489","","803","","707","","677","","513","","1736","","363","","754","","2990","","1565","","1012","","808","","897","","1858","","2561",""
"Greenland","Import","Fish","814","","875","","987","","2059","","2789","","2295","","2741","","1848","","3531","","3127","","3248","","4036","","3793","","7893","","3863","","3311",""
"Grenada","Export","Crustaceans","19","","109","","7","","67","","114","","182","","80","","7","","23","","91","F","45","F","63","F","94","F","81","F","117","F","153","F"
"Grenada","Export","Fish","3389","","3943","","3856","","3190","","2968","","3334","","3654","","4108","","2934","","4828","F","6419","F","5338","F","5465","F","6546","F","7964","F","5204","F"
"Grenada","Import","Crustaceans","104","","120","","70","","90","F","120","","107","","228","","358","","341","","250","","146","F","136","F","112","F","144","F","258","F","243","F"
"Grenada","Import","Fish","2045","","2411","","2473","","2387","F","2488","","2708","","3446","","4217","","4203","","3429","","2774","F","2650","F","3114","F","2329","F","2680","F","1979","F"
"Guatemala","Export","Crustaceans","21275","","10089","","28663","","40491","","38104","","24975","","39394","","47972","","55882","","50337","","45748","","48497","","56600","","62595","","74593","","58054",""
"Guatemala","Export","Fish","13786","","12315","","4749","","2394","","14889","","24202","","28049","","41080","","21972","","36380","","52609","","57570","","66475","","60610","","55173","","33679",""
"Guatemala","Import","Crustaceans","1407","","1705","","6182","","7244","","8810","","3047","","4196","","4929","","7172","","7819","","12090","","19487","","14687","","23714","","59168","","40286",""
"Guatemala","Import","Fish","5203","","6452","","8617","","8789","","17347","","27312","","26589","","31459","","21717","","29463","","54031","","51065","","73028","","65910","","62157","","41538",""
"Guyana","Export","Crustaceans","33061","","43134","","34807","","34956","","35553","","40845","","38037","","37694","","41041","","30650","","29414","","24964","","48609","","53425","","33254","","42873",""
"Guyana","Export","Fish","18233","","18822","","19665","","19154","","26438","","23246","","26744","","26047","","26889","","22515","","19762","","28601","","27883","","36088","","40133","","44427","F"
"Guyana","Import","Crustaceans","12","","94","","58","","109","","68","","5","","2","","384","","7","","2","","4","","4","","17","","10","","17","","41",""
"Guyana","Import","Fish","889","","930","","1542","","952","","1382","","1417","","1455","","2276","","1238","","1625","","1677","","2543","","2915","","2811","","2800","F","2452","F"
"Haiti","Export","Crustaceans","3115","F","2861","F","3506","F","3087","F","2798","F","3658","F","3404","F","4353","F","4049","F","3524","F","3749","F","5676","F","4060","F","3988","F","4067","F","4151","F"
"Haiti","Export","Fish","423","F","409","F","336","F","260","F","373","F","234","F","215","F","307","F","497","F","667","F","421","F","456","F","357","F","650","F","1089","F","1904",""
"Haiti","Import","Crustaceans","7","","0","-","4","","1","","140","F","75","F","80","F","92","F","135","F","122","F","190","F","328","F","261","F","325","F","509","F","392","F"
"Haiti","Import","Fish","5931","F","7051","F","4678","F","7887","F","8487","F","9729","F","16394","F","16920","F","21720","F","26442","F","20095","F","34205","F","21543","F","42270","F","41687","F","44598","F"
"Honduras","Export","Crustaceans","177336","","203256","","115754","","133441","","136172","","144619","","162580","","132948","","129669","","119223","","146459","","111877","","197731","","281321","","345340","","316075",""
"Honduras","Export","Fish","8850","","8134","","18332","","15790","","23535","","43392","","49245","","51117","","55035","","48956","","20234","","30462","","60348","","69104","","71121","","73594",""
"Honduras","Import","Crustaceans","11664","","7512","","5817","","4865","","4142","","3871","","4329","","4803","","5827","","4965","","6003","","6100","","4630","","5539","","6241","","7920",""
"Honduras","Import","Fish","3465","","2625","","2664","","3558","","3590","","5429","","4741","","6716","","8054","","8349","","9118","","10806","","11913","","12197","","11191","","13862",""
"Jamaica","Export","Crustaceans","6964","","9607","","3819","","7082","","6399","","7233","","6804","","4663","","5234","","4078","","6874","","8606","","8303","","9938","","8144","","5957",""
"Jamaica","Export","Fish","3037","","2210","","1712","","1095","","1012","","2266","","4014","","3605","","3000","","554","","536","","1318","","613","","512","","402","","174",""
"Jamaica","Import","Crustaceans","3494","","4072","","2833","","2966","","3623","","3886","","4631","","6337","","5345","","5555","","7951","","5942","","7713","","8238","","9374","","7857",""
"Jamaica","Import","Fish","47386","","54810","","54308","","55451","","54835","","71466","","74650","","86401","","95759","","81627","","80838","","97470","","100440","","95646","","97682","","92534",""
"Mexico","Export","Crustaceans","526839","","503389","","371669","","379151","","392223","","381544","","413716","","462751","","427376","","433530","","306916","","443111","","388663","","416545","","491946","","463362",""
"Mexico","Export","Fish","106531","","103370","","119960","","189496","","138187","","160875","","159714","","197503","","197806","","184008","","220525","","334775","","348887","","322584","","378165","","353497",""
"Mexico","Import","Crustaceans","22266","","36939","","46885","","55706","","49555","","74677","","78106","","98281","","124466","","75257","","102428","","105087","","107700","","203471","","290736","","130187",""
"Mexico","Import","Fish","74995","","101151","","112015","","137453","","208399","","231547","","315850","","391578","","415742","","270846","","382328","","465870","","501231","","533076","","593903","","587259",""
"Montserrat","Import","Crustaceans","12","","8","","5","","9","","7","","11","","16","","16","","19","","18","","20","","21","","33","","30","","31","","30",""
"Montserrat","Import","Fish","232","F","205","F","207","F","219","","199","","256","","317","","301","","343","","368","","305","","321","","334","","353","","303","","274",""
"Netherlands Antilles","Export","Crustaceans","67","F","31","F","1","","47","F","91","F","131","","32","","5","","2","","8","","34","F","0","-","0","-","0","-","0","-","0","-"
"Netherlands Antilles","Export","Fish","5611","F","5870","F","5229","F","8752","F","9033","F","2353","F","3226","F","2529","F","18954","F","17207","F","14725","F","0","-","0","-","0","-","0","-","0","-"
"Netherlands Antilles","Import","Crustaceans","1918","F","1332","F","812","F","935","F","1286","F","1492","","1851","","2032","","2485","","2654","F","3675","F","0","-","0","-","0","-","0","-","0","-"
"Netherlands Antilles","Import","Fish","5460","F","4455","F","3425","F","4751","F","5715","F","6600","","8365","","8675","","10767","","14937","F","13744","F","0","-","0","-","0","-","0","-","0","-"
"Nicaragua","Export","Crustaceans","118187","","33118","","35703","","55734","","85377","","89192","","70883","","74938","","104623","","82639","","107622","","115203","","175385","","225490","","262020","","226552",""
"Nicaragua","Export","Fish","9555","","9342","","11482","","11830","","12822","","16259","","17085","","20357","","21470","","21357","","23615","","23798","","24278","","26927","","34670","","29944",""
"Nicaragua","Import","Crustaceans","3393","","2900","","2561","","314","","128","","59","","55","","216","","508","","111","","79","","320","","310","","201","","104","","121",""
"Nicaragua","Import","Fish","3790","","3150","","3859","","3300","","3228","","4168","","4453","","4853","","5106","","5064","","5119","","7059","","9086","","10458","","11562","","16438",""
